cod_colegio;meac;partida;%_incidencia;1/03/2020;2/03/2020;3/03/2020;4/03/2020;5/03/2020;6/03/2020;7/03/2020;8/03/2020;9/03/2020;10/03/2020;11/03/2020;12/03/2020;13/03/2020;14/03/2020;15/03/2020
2;1;TRASLADO Y ALMACENAJE DE MATERIAL (VERIFICACIÓN DE MATERIALES CON PACKING LIST);0.010974428;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;TRAZO, REPLANTEO Y NIVELACION DE PODIOS;0.018290713;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;ARMADO IZAJE PORTICOS + VIGAS PERIMETRALES P y T + MEDICION DE DIAGONALES + ANCLAJE DE PODIOS ;0.141949191;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;COLOCACIÓN VIGAS PISO SECUND. + CORREAS DE PISO;0.081113823;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;COLOCACIÓN DE VIGUESTAS TECHO + COL. SECUND.;0.060835367;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;TRASLADO Y NIVELACION DE PODIOS RAMPA;0.007316285;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;COLOCACIÓN DE VIGAS DE PISO EN RAMPA + PLATAFORMA DE DESCANSO;0.040556912;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;COLOCACION DE CORREAS PISO EN RAMPA +BARANDA;0.040556912;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;COLOCACION Y ASEGURAMIENTO DE PLANCHAS RAMPA + ANGULO (PLANCHA);0.040556912;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;"COLOCACION DE CANAL ""U"" + TRIPLAY FENOLICOS";0.039194384;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;INSTALACION DE PANEL MURO + LISTONES DE MADERA;0.072509611;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;INSTALACION DE PANEL TECHO;0.062790103;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;INSTALACION DE ACCESORIOS INTER Y EXTER;0.040847256;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;INSTALACION DE ALEROS;0.036449589;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;INSTALACION DE VENTANAS Y PUERTA;0.042981986;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;INSTALACIÓN DE CORTINAS, PIZARRA, EXTINTORES Y OTROS;0.010451836;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;INSTALACION DE PISO VINILICO;0.068084468;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;SELLADO DE MODULO;0.036254805;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;INSTALACION DE CAJA PASE +TUBERIA;0.006532397;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;INSTALACION DE TABLERO ;0.003266199;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;CABLEADO Y CONEXIONADO ELECTRICO;0.070549891;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;INSTALACION DE LUMINARIAS Y TOMACORRIENTES;0.036581425;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;PRUEBAS ELECTRICAS ;0.005225918;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;INSTALACION DE MONTANTES PLUVIALES;0.018290713;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;1;LIMPIEZA FINAL DE MODULO Y ELIMINACION DE MAT.;0.007838877;;;0.15;0.31;0.3861;0.55;0.76;0.9367;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;TRASLADO Y ALMACENAJE DE MATERIAL (VERIFICACIÓN DE MATERIALES CON PACKING LIST);0.010974428;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;TRAZO, REPLANTEO Y NIVELACION DE PODIOS;0.018290713;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;ARMADO IZAJE PORTICOS + VIGAS PERIMETRALES P y T + MEDICION DE DIAGONALES + ANCLAJE DE PODIOS ;0.141949191;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;COLOCACIÓN VIGAS PISO SECUND. + CORREAS DE PISO;0.081113823;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;COLOCACIÓN DE VIGUESTAS TECHO + COL. SECUND.;0.060835367;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;TRASLADO Y NIVELACION DE PODIOS RAMPA;0.007316285;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;COLOCACIÓN DE VIGAS DE PISO EN RAMPA + PLATAFORMA DE DESCANSO;0.040556912;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;COLOCACION DE CORREAS PISO EN RAMPA +BARANDA;0.040556912;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;COLOCACION Y ASEGURAMIENTO DE PLANCHAS RAMPA + ANGULO (PLANCHA);0.040556912;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;"COLOCACION DE CANAL ""U"" + TRIPLAY FENOLICOS";0.039194384;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;INSTALACION DE PANEL MURO + LISTONES DE MADERA;0.072509611;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;INSTALACION DE PANEL TECHO;0.062790103;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;INSTALACION DE ACCESORIOS INTER Y EXTER;0.040847256;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;INSTALACION DE ALEROS;0.036449589;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
2;2;INSTALACION DE VENTANAS Y PUERTA;0.042981986;0.31;0.6912;0.75;0.8;0.7791;0.82;0.9;0.9568;0.99;0.99;0.99;0.99;0.99;0.99;0.99
